,rank,title,writer,year,citations,url,pdf_url,citations_url,explanation_detail,methodlist,objectlist,achivementlist
97,99.0,… 行動・環境モニタリングによるワークプレイスの省エネルギーと知的活動に関する研究 (その 4): 人の位置情報により制御される天井照明と光色可変タスク照明に対する光環境満足 …,"宮下秀雄， 宗方淳， 鄭新源， 川瀬貴晴… - 学術講演梗概集. D- …,  - ci.nii.ac.jp",2010,3.0,https://ci.nii.ac.jp/naid/110008114120/,,"https://scholar.google.co.jp/scholar?cites=12812064356743751695&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,行動 環境 モニタリング,ワークプレイス 省エネルギー 知的 活動 研究 ( 4 ): 人 位置 情報 制御 天井 照明 光 色 可変 タスク 照明,光 環境 満足
98,100.0,多方向照明 HDR 画像を用いた金襴の多重解像度異方性 BTF モデリング,"武田祐樹， 田中弘美 - 電子情報通信学会論文誌 D,  - search.ieice.org",2008,3.0,https://search.ieice.org/bin/summary.php?id=j91-d_12_2729,,"https://scholar.google.co.jp/scholar?cites=6397721120619820220&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,多方向 照明 HDR 画像,,金襴 多重 解像度 方 性 BTF モデリング
99,101.0,一般化勾配法によるオプティカルフローの検出: 不均一照明下での物体運動の計測,"三池秀敏， 長篤志， 三浦一幸… - 情報処理学会論文誌 …,  - ipsj.ixsq.nii.ac.jp",2008,3.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=17928&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=4240060404584696693&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,一般 化 勾配 法,,オプティカルフロー 検出 : 均一 照明 下 物体 運動 計測
100,102.0,[引用][C] LED の植物育成分野への応用 (< 特集> LED 照明の実際),"後藤英司 - 照明学会誌,  - ci.nii.ac.jp",2005,6.0,https://ci.nii.ac.jp/naid/10013815997/,,"https://scholar.google.co.jp/scholar?cites=11463980146461187578&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] LED 植物 育成 分野 応用 (< 特集 > LED 照明 )
101,103.0, 空間の印象評価に及ぼす BGM のジャンルと照明の光色の相互作用的影響,"後藤靖宏 - 北星論集 (文),  - ci.nii.ac.jp",2013,3.0,https://ci.nii.ac.jp/fulltext?q=%E3%82%A4%E3%83%A1%E3%83%BC%E3%82%B8%E3%80%80%E5%BD%A2%E5%AE%B9%E8%A9%9E%E3%80%80%E5%9B%A0%E5%AD%90%E5%88%86%E6%9E%90&sortorder=1&count=20&start=101,,"https://scholar.google.co.jp/scholar?cites=3793146532411669511&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,空間 印象 評価 BGM ジャンル 照明 光 色 相互 作用 的 影響
102,104.0,低誘虫照明と新しい誘虫性指数,"青木慎一， 倉光修 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2007,2.0,https://ci.nii.ac.jp/naid/110006242822/,,"https://scholar.google.co.jp/scholar?cites=7719527920676909387&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,誘虫 照明 誘虫 性 指数
103,105.0,[引用][C] 住宅照明設計技術指南,"照明学会 - JIEG-,  - ci.nii.ac.jp",2006,3.0,https://ci.nii.ac.jp/naid/10030079115/,,"https://scholar.google.co.jp/scholar?cites=2706342271424071861&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] 住宅 照明 設計 技術 指南
104,106.0,高出力白色 LED 照明技術の課題,"石川知成 - … 講演論文集 平成  年度 (第  回) 照明学会 全国大会 …,  - jstage.jst.go.jp",2006,2.0,https://www.jstage.jst.go.jp/article/ieijac/39/0/39_0_175/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=937463124281605793&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,出力 白色 LED 照明 技術 課題
105,107.0,タスク・アンビエント照明方式を用いたオフィス照明の明るさ感向上に関する研究,"小谷朋子， 中村芳樹， 金谷末子， 三木保弘 - 照明学会誌,  - jstage.jst.go.jp",2011,2.0,https://www.jstage.jst.go.jp/article/jieij/95/11/95_11_699/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=14908418065986228447&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,タスク・アンビエント 照明 方式,,オフィス 照明 さ 感 向上 研究
106,108.0,設計者から考える建築と照明,"濱野裕司 - 照明学会誌,  - ci.nii.ac.jp",2009,2.0,https://ci.nii.ac.jp/naid/110007161713/,,"https://scholar.google.co.jp/scholar?cites=7246214117245444462&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,設計 者 建築 照明
107,109.0,LED 照明の測光方法に関する国際標準化の動向,"蔀洋司 - 照明学会誌,  - ci.nii.ac.jp",2012,2.0,https://ci.nii.ac.jp/naid/110009457486/,,"https://scholar.google.co.jp/scholar?cites=17038627446882020842&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,LED 照明 測光 方法 国際 標準 化 動向
108,110.0,雪国の景観照明における演色効果,"中嶋芳雄 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2005,2.0,https://ci.nii.ac.jp/naid/110001800942/,,"https://scholar.google.co.jp/scholar?cites=8233313132242453917&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,雪国 景観 照明,演色 効果
109,111.0,: 色照明が単純作業成績に及ぼす効果,"高橋晋也 - 人間環境学研究,  - ci.nii.ac.jp",2005,2.0,https://ci.nii.ac.jp/naid/130004953249/,,"https://scholar.google.co.jp/scholar?cites=18129272232351309717&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,: 色 照明 単純 作業 成績 効果
110,112.0, 消灯メカニズムを組み込んだ知的照明システム,"三木光範， 廣安知之， 吉見真聡， 田中慎吾… - FIT, 第一 …,  - mikilab.doshisha.ac.jp",2009,2.0,http://mikilab.doshisha.ac.jp/soe/sites/default/files/FIT2009_yonemoto.pdf,,"https://scholar.google.co.jp/scholar?cites=18360972044901845204&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,消灯 メカニズム 知的 照明 システム
111,113.0,照明用白色 LED の発光効率と進歩,"板東完治 - 照明学会誌,  - ci.nii.ac.jp",2010,2.0,https://ci.nii.ac.jp/naid/110007575159/,,"https://scholar.google.co.jp/scholar?cites=14240636054752788840&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 用 白色 LED 発光 効率 進歩
112,114.0, 色みえを改善した LED 照明器具の試作,"岩永敏秀， 中村広隆， 市原茂， 山下利之… - 照明学会全国大会講演 …,  - iri-tokyo.jp",2012,2.0,https://www.iri-tokyo.jp/uploaded/attachment/1022.pdf,,"https://scholar.google.co.jp/scholar?cites=14649840296807115940&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,色 みえ 改善 LED 照明 器具 試作
113,115.0,LED による美術館照明の課題と今後,"藤原工 - 照明学会誌,  - ci.nii.ac.jp",2013,2.0,https://ci.nii.ac.jp/naid/110009612135/,,"https://scholar.google.co.jp/scholar?cites=17786452176204084248&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,LED,,美術館 照明 課題 今後
114,116.0,省エネを実現する照明制御手法とその応用,"隈川ひろ子 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2006,2.0,https://ci.nii.ac.jp/naid/110004782766/,,"https://scholar.google.co.jp/scholar?cites=13781540540629048000&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,省エネ 実現 照明 制御 手法 応用
115,117.0,シミュレーションを用いた次世代オフィス照明の設計技術 (特集資料 次世代オフィス照明を支える技術),"中村芳樹 - 照明学会誌,  - ci.nii.ac.jp",2012,2.0,https://ci.nii.ac.jp/naid/110009496112/,,"https://scholar.google.co.jp/scholar?cites=10266033793904213634&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,シミュレーション,,次世代 オフィス 照明 設計 技術 ( 特集 資料 次世代 オフィス 照明 技術 )
116,118.0, 白色 LED 照明を用いた好ましい見え方に関連する照明の考察,"山岸未沙子， 久保千穂， 山羽和夫 - 日本色彩学会誌,  - ci.nii.ac.jp",2012,2.0,https://ci.nii.ac.jp/fulltext?q=%E3%82%A4%E3%83%A1%E3%83%BC%E3%82%B8%E3%80%80%E5%BD%A2%E5%AE%B9%E8%A9%9E%E3%80%80%E5%9B%A0%E5%AD%90%E5%88%86%E6%9E%90&sortorder=1&count=20&start=61,,"https://scholar.google.co.jp/scholar?cites=9836488956718659761&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,白色 LED 照明,,見え 方 関連 照明 考察
117,119.0, 6R-3 知的照明システムにおけるユーザインタフェースの構築 (音声認識およびタッチパネルを用いた照明コントロール),三木光範， 廣安知之， 池田聡 -  - mikilab.doshisha.ac.jp,2005,2.0,http://mikilab.doshisha.ac.jp/achieve/data/2004/resume/ipsj67th_ikeda.pdf,,"https://scholar.google.co.jp/scholar?cites=660790191640007361&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,ユーザ インタフェース 構築 ( 音声 認識 タッチパネル,6 R - 3 知的 照明 システム,照明 コントロール )
118,120.0,居間照明の実態調査 (環境工学),"中山和美 - 日本建築学会技術報告集,  - jstage.jst.go.jp",2006,2.0,https://www.jstage.jst.go.jp/article/aijt/12/23/12_KJ00004651270/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=7209199395800171225&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,居間 照明 実態 調査 ( 環境 工学 )
119,121.0,数理モデルを利用した照明制御とその効果,"安田晃久， 金子洋介， 松下雅仁… - [C] 平成  年電気学会 …,  - ieej.ixsq.nii.ac.jp",2011,2.0,https://ieej.ixsq.nii.ac.jp/ej/?active_action=repository_view_main_item_detail&item_id=41100&item_no=1&page_id=13&block_id=18,,"https://scholar.google.co.jp/scholar?cites=9648244219451577496&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,数理 モデル,,照明 制御 効果
120,122.0,LED 照明による布の見え方に関する従来照明との比較,"草野舞子， 岩田利枝 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2010,2.0,https://www.jstage.jst.go.jp/article/aije/75/653/75_653_569/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=17567537645818275153&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,LED 照明,,布 見え 方 従来 照明 比較
121,123.0,ユーザの生体情報を用いた照明システムのユーザインタフェース,"木田清香， 三木光範， 廣安知之 - 同志社大学理工学研究報告,  - ci.nii.ac.jp",2008,2.0,https://ci.nii.ac.jp/naid/110006981228/,,"https://scholar.google.co.jp/scholar?cites=4656261812920810266&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,ユーザ 生体 情報,,照明 システム ユーザ インタフェース
122,124.0, フィジカルディマー: 身体動作による照明の制御インタフェース,"金スルギ， 坂本隆成， 白井大地， 水無瀬翔… - …,  - interaction-ipsj.org",2011,2.0,http://www.interaction-ipsj.org/archives/paper2011/interactive/0168/2INH-10.pdf,,"https://scholar.google.co.jp/scholar?cites=10841788803141891515&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,フィジカルディマー : 身体 動作,,照明 制御 インタフェース
123,125.0," わが国初の白熱電球から, 蛍光ランプ, LED 照明へと先導する照明技術","安田丈夫， 大川秀樹 - 東芝レビュー,  - toshiba.co.jp",2014,2.0,https://www.toshiba.co.jp/tech/review/2014/02/69_02pdf/a03.pdf,,"https://scholar.google.co.jp/scholar?cites=12146190588216596225&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,わが国 初 白熱 電球 蛍光 ランプ LED 照明 先導 照明 技術
124,126.0,照明用白色 LED の高出力化技術とその応用,"金森正芳， 今井貞人 - … 集 平成  年度 (第  回) 照明学会 全国大会 …,  - jstage.jst.go.jp",2006,2.0,https://www.jstage.jst.go.jp/article/ieijac/39/0/39_0_174/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=11872418655538549015&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 用 白色 LED 出力 化 技術 応用
125,127.0,知的照明システムにおける線形計画法を用いた照明制御アルゴリズム,"池上久典， 桑島奨， 三木光範， 間博人 - 情報処理学会論文誌,  - ipsj.ixsq.nii.ac.jp",2015,2.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=141427&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=2056452796505972788&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,線形 計画 法,知的 照明 システム,照明 制御 アルゴリズム
126,128.0,街路灯の夜間照明がイネの生育と収量に及ぼす影響,"山本晴彦， 岩谷潔， 井上名月 - …  年度 (第  回) 照明学会 全国大会 …,  - jstage.jst.go.jp",2006,2.0,https://www.jstage.jst.go.jp/article/ieijac/39/0/39_0_164/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=4270087171537991441&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,街路 灯 夜間 照明 イネ 生育 収量 影響
127,129.0,照明用 LED の現状と将来展望,"天野浩 - 電子情報通信学会誌,  - nagoya.repo.nii.ac.jp",2010,2.0,https://nagoya.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=13049&item_no=1&page_id=28&block_id=27,,"https://scholar.google.co.jp/scholar?cites=10029858652009827870&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 用 LED 現状 将来 展望
128,130.0,異なる照明光下における白色知覚に関する検討,"太田亜紀子， 金谷末子， 阿山みよし， 向健二 - 照明学会誌,  - jstage.jst.go.jp",2005,2.0,https://www.jstage.jst.go.jp/article/jieij/89/11/89_11_773/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=5155582117758638428&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,照明 光 下,白色 知覚 検討
129,131.0,[引用][C] バードウォッチャーの鳥見帳 千葉市昭和の森と野田市のギンムクドリ,"森岡照明 - Birder,  - ci.nii.ac.jp",2007,3.0,https://ci.nii.ac.jp/naid/10029859419/,,"https://scholar.google.co.jp/scholar?cites=9056302973990376563&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] バードウォッチャー 鳥見 帳 千葉 市 昭和 森 野田 市 ギンムクドリ
130,132.0, 屋外照明環境での 200Hz 距離画像計測,"石山英俊， 梅田和昇 - 第  回日本ロボット学会学術講演会予稿集 …,  - mech.chuo-u.ac.jp",2008,2.0,http://www.mech.chuo-u.ac.jp/~umedalab/publications/pdf/2008/200809_ishiyama_RSJ2008.pdf,,"https://scholar.google.co.jp/scholar?cites=6623175363549857987&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,屋外 照明 環境 200 Hz 距離 画像 計測
131,133.0,中国の環境教育における学校・行政・環境 NPO の連繋-南京市龍江小学校の事例,"朱照明， 呉銀立， 宋振亜， 王麗娜， 諏訪哲郎 - 環境教育,  - jstage.jst.go.jp",2008,3.0,https://www.jstage.jst.go.jp/article/jsoee/18/1/18_1_1_98/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=2354093676407955183&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,中国 環境 教育,学校 行政 環境 NPO 連繋 - 南京 市 龍江 小学校 事例
132,134.0,空間の明るさ感を考慮した JR 宝塚駅の照明手法,"石田正紀， 竹村博行 - 照明学会誌,  - ci.nii.ac.jp",2011,2.0,https://ci.nii.ac.jp/naid/110008733475/,,"https://scholar.google.co.jp/scholar?cites=6650424239286506402&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,空間 さ 感 考慮 JR 宝塚 駅 照明 手法
133,135.0,"スポーツにおける脳振盪: 脳振盪の評価と現場への復帰 (3. 脳振盪とスポーツ選手の復帰,< 特集> 臨床において対応に苦慮する事例)","谷諭， 川又達朗， 荻野雅宏， 森照明， 福田修… - 脳神経外科 …,  - jstage.jst.go.jp",2009,3.0,https://www.jstage.jst.go.jp/article/jcns/18/9/18_KJ00005654450/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=7596209248595742131&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,スポーツ,脳 振盪 : 脳 振盪 評価 現場 復帰 ( 3 . 脳 振盪 スポーツ 選手 復帰 特集 > 臨床 対応 苦慮 事例 )
134,136.0,照明光通信によるユーザ誘導デバイスの研究,"光藤雄一 - 研究報告ユビキタスコンピューティングシステム (UBI),  - ipsj.ixsq.nii.ac.jp",2009,2.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=62040&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=14414823958518118154&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,照明 光通信,,ユーザ 誘導 デバイス 研究
135,137.0,[引用][C] 核変換実験施設の概念検討 (2) ADS ターゲット試験施設の概念検討,"…， 中井公一， 雑候章， 笠原芳幸， 岩田東， 北野照明… - JAERI-Tech, ",2005,3.0,,,"https://scholar.google.co.jp/scholar?cites=4696247988944377115&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] 核変換 実験 施設 概念 検討 ( 2 ) ADS ターゲット 試験 施設 概念 検討
136,138.0,"[引用][C] 大分国体空手道強化選手の栄養素等摂取状況, 身体組成および血液性状","…， 吉村良孝， 濱田繁雄， 伊藤健一， 森照明 - 臨床スポーツ医学= The …,  - ci.nii.ac.jp",2005,3.0,https://ci.nii.ac.jp/naid/10020563404/,,"https://scholar.google.co.jp/scholar?cites=4243404737207294799&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] 大分 国体 空手 道 強化 選手 栄養素 等 摂取 状況 身体 組成 血液 性状
137,139.0,[引用][C] 遠隔会話へ の 参加度向上の ための 存在感補完手法の 検討,"友利真朗， 伊藤照明 - 日本機械学会・中国四 国支部第  期総会・講演会講演 …, ",2012,3.0,,,"https://scholar.google.co.jp/scholar?cites=7020185907781751467&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,[ 引用 ][ C ] 遠隔 会話 参加 度 向上,存在 感 補完 手法 検討
138,140.0,十二指腸球部への胆石嵌頓による胃排泄障害 (Bouveret 症候群) の 1 例,"金子奉暁， 中崎晴弘， 種村宏之， 竹山照明… - 日本臨床外科学会 …,  - jstage.jst.go.jp",2010,3.0,https://www.jstage.jst.go.jp/article/jjsa/71/5/71_5_1269/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=4413509147682375601&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,十二指腸 球 部 胆石 頓,,胃 排泄 障害 ( Bouveret 症候群 ) 1 例
139,141.0,[引用][C] ノンパラメトリック統計: 原理から実践まで,中込照明 -  - EDIXi 出版部,2006,3.0,,,"https://scholar.google.co.jp/scholar?cites=14162517239588611853&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] ノンパラメトリック 統計 : 原理 実践
140,142.0,[引用][C] 環境負荷低減と豊かな光環境の両立に向けて,"照明学会 - JIER-, ",2009,3.0,,,"https://scholar.google.co.jp/scholar?cites=5170991944891123916&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,[ 引用 ][ C ] 環境 負荷 低減 豊か 光 環境 両立
141,143.0,照明群制御方式のための調光逆問題アプローチ,"北上眞二， 金子洋介， 安田晃久 - [C] 平成  年電気学会電子 …,  - ieej.ixsq.nii.ac.jp",2011,2.0,https://ieej.ixsq.nii.ac.jp/ej/?active_action=repository_view_main_item_detail&page_id=13&block_id=18&item_id=41115&item_no=1,,"https://scholar.google.co.jp/scholar?cites=2402883030863323905&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,照明 群 制御 方式,調 光 問題 アプローチ
142,144.0, 照明変化のある環境下での移動物体検出の検討,"谷誠一， 伊谷裕介， 渡辺裕… - … 学会総合大会講演論文集,  - ams.giti.waseda.ac.jp",2007,2.0,https://www.ams.giti.waseda.ac.jp/data/pdf-files/2007IEICE_d_11_102.pdf,,"https://scholar.google.co.jp/scholar?cites=7198631165538377632&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,照明 変化 環境 下 移動 物体 検出 検討
143,145.0,複数光源の同時照明による BRDF の高速計測,"田川聖一， 向川康博， 八木康史 - 電子情報通信学会論文誌 D,  - search.ieice.org",2009,2.0,https://search.ieice.org/bin/summary.php?id=j92-d_8_1393,,"https://scholar.google.co.jp/scholar?cites=8780223761856153080&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,複数 光源 同時 照明,,BRDF 高速 計測
144,146.0, 一般照明下での表面下散乱の解析,向川康博， 鈴木和哉， 八木康史 -  - omilab.naist.jp,2008,2.0,http://omilab.naist.jp/~mukaigawa/papers/MIRU2008-BSSRDF.pdf,,"https://scholar.google.co.jp/scholar?cites=14867892528209395342&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,一般 照明 下 表面 下 散乱 解析
145,147.0,室温と照明の色温度が脳に与える影響の検討,"田辺竜也， 廣安知之， 三木光範， 横内久猛… - 同志社大学理工学研究 …,  - ci.nii.ac.jp",2011,2.0,https://ci.nii.ac.jp/naid/110008114714/,,"https://scholar.google.co.jp/scholar?cites=1163997672680368984&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,室温 照明 色 温度 脳 影響 検討
146,148.0, 照明用 LED モジュールの光学特性測定システムの開発,"岩永敏秀， 山本哲雄， 中村広隆 - 照明用 LED モジュールの光学特性測定 …,  - iri-tokyo.jp",2007,2.0,https://www.iri-tokyo.jp/uploaded/attachment/767.pdf#page=39,,"https://scholar.google.co.jp/scholar?cites=2012985760922947121&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,照明 用 LED モジュール 光学 特性 測定 システム 開発
147,149.0,分散制御型照明システムにおけるディジタル照度センサの試作,"三木光範， 吉田健太， 平野裕也 - 電子情報通信学会論文誌 D,  - search.ieice.org",2013,2.0,https://search.ieice.org/bin/summary.php?id=j96-d_10_2398,,"https://scholar.google.co.jp/scholar?cites=16134044720765311543&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,分散 制御 型 照明 システム,ディジタル 照度 センサ 試作
148,150.0,知的照明システムの照度センサに対するスマートフォンの利用可能性の検証,"三木光範， 桑島奨， 池上久典， 東陽平， 中林弘光… - 同志社大学理工学研究 …,  - ci.nii.ac.jp",2014,2.0,https://ci.nii.ac.jp/naid/110009799502/,,"https://scholar.google.co.jp/scholar?cites=7636878364443839061&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,知的 照明 システム 照度 センサ,スマート フォン 利用 可能 性 検証
149,151.0,異質性を考慮したトンネル照明灯具の劣化予測,"平川恵士， 水谷大二郎， 貝戸清之 - 照明学会誌,  - jstage.jst.go.jp",2013,2.0,https://www.jstage.jst.go.jp/article/jieij/97/11/97_706/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=14123417200499092107&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,異質 性 考慮 トンネル 照明 灯 具 劣化 予測
150,152.0,[引用][C] 走行荷重による高架橋照明柱の振動挙動の計測と動的応答解析,"海老澤健正， 後藤芳顯， 岡部健 - 土木学会第  回 年次学術講演会, 第  部, ",2005,6.0,,,"https://scholar.google.co.jp/scholar?cites=17289108353208923700&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,[ 引用 ][ C ] 走行 荷重,,高架 橋 照明 柱 振動 挙動 計測 動的 応答 解析
151,153.0,高出力 LED を用いた配光制御型照明器具の開発,"浅川久志， 馬場洵子， 若木守明 - 照明学会誌,  - jlc.jst.go.jp",2008,2.0,http://jlc.jst.go.jp/JST.JSTAGE/jieij/92.257?from=Google,,"https://scholar.google.co.jp/scholar?cites=824267503041669992&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,出力 LED,,配 光 制御 型 照明 器具 開発
152,154.0,[引用][C] 照度設計から輝度設計へ: 照明設計における CG 画像の利用研究調査報告,"中村芳樹 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2006,4.0,https://ci.nii.ac.jp/naid/110004799357/,,"https://scholar.google.co.jp/scholar?cites=3253149455959911107&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,[ 引用 ][ C ] 照度 設計 輝度 設計 : 照明 設計,CG 画像 利用 研究 調査 報告
153,155.0,店舗照明が食品のイメージ認識に及ぼす影響に関する基礎的研究,"藤田博樹， 中嶋芳雄， 高松衛， 太田正明 - 照明学会誌,  - jstage.jst.go.jp",2011,2.0,https://www.jstage.jst.go.jp/article/jieij/95/2/95_2_87/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=616400758125006726&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,店舗 照明 食品 イメージ 認識 影響 基礎 的 研究
154,156.0,分散制御照明システムにおける照度センサ位置の数理計画法を用いた推定,"宮崎昇幸， 三木光範， 吉見真聡… - 第  回全国大会講演論文 …,  - ipsj.ixsq.nii.ac.jp",2012,2.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=109586&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=15234402129299917086&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,照度 センサ 位置 数理 計画 法,分散 制御 照明 システム,推定
155,157.0,[引用][C] 赤色光 LED を用いた間欠照明における暗期幅が秋ギクの開花に及ぼす影響,"石倉聡， 村上克介 - 園芸学会雑誌. 別冊, 園芸学会大会研究発表,  - ci.nii.ac.jp",2006,5.0,https://ci.nii.ac.jp/naid/10019588399/,,"https://scholar.google.co.jp/scholar?cites=3023389713347378544&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,[ 引用 ][ C ] 赤色 光 LED,間欠 照明,期 幅 秋 ギク 開花 影響
156,158.0,室内空間における照明の照射位置の違いがもたらす 感情状態の変化と脳活動との関係,"中島瑞季， 山中敏正 - … 集 平成  年度 (第  回) 照明学会全国大会,  - jstage.jst.go.jp",2010,2.0,https://www.jstage.jst.go.jp/article/ieijac/43/0/43_0_66/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1922171666463422885&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,室内 空間,照明 照射 位置 違い 感情 状態 変化 脳 活動 関係
157,159.0,偏角分光イメージング法におけるカメラ・照明方向の最適化,"中口俊哉， 河西将範， 津村徳道， 三宅洋一 - 日本写真学会誌,  - jstage.jst.go.jp",2005,2.0,https://www.jstage.jst.go.jp/article/photogrst1964/68/6/68_6_532/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1405733282088828660&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,偏 角 分光 イメージング 法,カメラ 照明 方向 最適 化
